,datetime,neutral,positive,negative
430,2023-07-06,0.429162,0.40600765,0.16483036
431,2023-07-07,0.43515223,0.35907793,0.20576987
432,2023-07-08,0.4685913,0.31678456,0.21462414
433,2023-07-09,0.44253883,0.25406876,0.30339238
434,2023-07-10,0.44605026,0.34077677,0.21317297
435,2023-07-11,0.48726818,0.32451886,0.18821298
436,2023-07-12,0.46170503,0.35319716,0.18509784
437,2023-07-13,0.4355038,0.38491148,0.17958471
438,2023-07-14,0.35043296,0.4503471,0.19921994
439,2023-07-15,0.43217313,0.38672307,0.18110383
440,2023-07-16,0.47158542,0.42473087,0.10368372
441,2023-07-17,0.3894836,0.40329683,0.20721959
442,2023-07-18,0.3587787,0.49388966,0.14733168
443,2023-07-19,0.32640088,0.40736496,0.2662342
444,2023-07-20,0.38781723,0.38092014,0.23126262
445,2023-07-21,0.39890963,0.41576412,0.18532626
446,2023-07-22,0.55258024,0.24398154,0.20343821
447,2023-07-23,0.57326007,0.27648857,0.15025134
448,2023-07-24,0.40445724,0.39516708,0.20037568
449,2023-07-25,0.36686656,0.43841332,0.19472013
450,2023-07-26,0.36518502,0.45644447,0.17837052
451,2023-07-27,0.3239446,0.5111248,0.16493066
452,2023-07-28,0.37244287,0.4486348,0.17892231
453,2023-07-29,0.41740692,0.44345105,0.13914199
454,2023-07-30,0.3435055,0.46899328,0.18750119
455,2023-07-31,0.4423049,0.3788062,0.17888889
456,2023-08-01,0.3439397,0.40813947,0.2479209
457,2023-08-02,0.37663528,0.2841226,0.33924216
458,2023-08-03,0.3239703,0.38398087,0.2920488
459,2023-08-04,0.3059744,0.42131278,0.27271286
460,2023-08-05,0.4634759,0.3714443,0.16507979
461,2023-08-06,0.38379678,0.43753937,0.17866379
462,2023-08-07,0.4875577,0.31701994,0.19542234
463,2023-08-08,0.41620824,0.32100138,0.26279035
464,2023-08-09,0.4152158,0.3361171,0.24866714
465,2023-08-10,0.5026023,0.31126043,0.18613732
466,2023-08-11,0.5151316,0.27710772,0.2077607
467,2023-08-12,0.35472813,0.43062532,0.21464655
468,2023-08-13,0.6585553,0.2812575,0.060187142
469,2023-08-14,0.42964226,0.3995789,0.17077883
470,2023-08-15,0.5009646,0.3198559,0.17917949
471,2023-08-16,0.43070188,0.3067335,0.2625646
472,2023-08-17,0.37197572,0.45760933,0.17041497
473,2023-08-18,0.4693715,0.30388477,0.22674374
474,2023-08-19,0.3673409,0.22427331,0.40838578
475,2023-08-20,0.38434604,0.3466085,0.26904544
476,2023-08-21,0.48175335,0.32671693,0.19152975
477,2023-08-22,0.43519616,0.4289405,0.1358633
478,2023-08-23,0.40059105,0.41313532,0.18627362
479,2023-08-24,0.3710899,0.41981733,0.20909272
480,2023-08-25,0.47818807,0.33025467,0.19155727
481,2023-08-26,0.38285705,0.4296236,0.18751933
482,2023-08-27,0.3358303,0.44210273,0.22206697
483,2023-08-28,0.47406057,0.313506,0.21243344
484,2023-08-29,0.49719322,0.32859242,0.17421438
485,2023-08-30,0.44533747,0.39454663,0.16011587
486,2023-08-31,0.425928,0.42549133,0.14858067
487,2023-09-01,0.45204028,0.37446544,0.17349432
488,2023-09-02,0.24309063,0.45271343,0.30419594
489,2023-09-03,0.47062725,0.15212902,0.3772437
490,2023-09-04,0.33912292,0.53192157,0.12895548
491,2023-09-05,0.54927516,0.2651767,0.18554808
492,2023-09-06,0.4725767,0.26365018,0.26377314
493,2023-09-07,0.4643942,0.2785672,0.2570386
494,2023-09-08,0.43620202,0.2961572,0.26764077
495,2023-09-09,0.4199938,0.35105118,0.22895505
496,2023-09-10,0.48059884,0.3141728,0.20522833
497,2023-09-11,0.45081028,0.38432398,0.16486573
498,2023-09-12,0.43210518,0.3298374,0.23805737
499,2023-09-13,0.44740134,0.36135066,0.19124801
500,2023-09-14,0.50350374,0.3100057,0.18649054
501,2023-09-15,0.49059334,0.27063963,0.23876703
502,2023-09-16,0.34080088,0.41776398,0.24143517
503,2023-09-17,0.5843794,0.22746627,0.18815434
504,2023-09-18,0.42732862,0.37627986,0.19639152
505,2023-09-19,0.4612211,0.32170096,0.21707794
506,2023-09-20,0.5086775,0.33581302,0.1555095
507,2023-09-21,0.4946934,0.3181393,0.18716729
508,2023-09-22,0.46131724,0.3365716,0.20211112
509,2023-09-23,0.39699563,0.4729246,0.1300798
510,2023-10-04,0.5385032,0.35081282,0.11068395
511,2023-10-05,0.48739436,0.3531005,0.15950513
